anio_fiscal,etiqueta,periodo,es_sequia,precio_barril_usd_prom,segmento_id,segmento,nombre_display,categoria,transitos,toneladas_cp_suez,peajes_usd
2020,FY2020,baseline,0,47.64,1,Carga_general,Carga general,Graneles,612,21753490,121905603
2020,FY2020,baseline,0,47.64,2,Carga_refrigerada,Carga refrigerada,Graneles,607,21575765,120909642
2020,FY2020,baseline,0,47.64,3,Gas_licuado_GLP,Gas licuado (GLP),Gases,1305,46386117,259945770
2020,FY2020,baseline,0,47.64,4,Gas_natural_GNL,Gas natural (GNL),Gases,419,14893320,83461515
2020,FY2020,baseline,0,47.64,5,Graneles_secos,Graneles secos,Graneles,2759,98068427,549571172
2020,FY2020,baseline,0,47.64,6,Otros,Otros,Otros,1438,51113591,286438327
2020,FY2020,baseline,0,47.64,7,Pasajeros,Pasajeros,Otros,227,8068696,45216621
2020,FY2020,baseline,0,47.64,8,Portacontenedores,Portacontenedores,Contenedores,2551,90675084,508139203
2020,FY2020,baseline,0,47.64,9,Tanqueros_quimiqueros,Tanqueros / Quimiqueros,Líquidos,2779,98779325,553555015
2020,FY2020,baseline,0,47.64,10,Vehiculos_RoRo,Vehículos RoRo,Otros,672,23886185,133857132
2021,FY2021,baseline,0,62.21,1,Carga_general,Carga general,Graneles,508,19673482,113014960
2021,FY2021,baseline,0,62.21,2,Carga_refrigerada,Carga refrigerada,Graneles,564,21842213,125473302
2021,FY2021,baseline,0,62.21,3,Gas_licuado_GLP,Gas licuado (GLP),Gases,1523,58981719,338822410
2021,FY2021,baseline,0,62.21,4,Gas_natural_GNL,Gas natural (GNL),Gases,537,20796575,119466602
2021,FY2021,baseline,0,62.21,5,Graneles_secos,Graneles secos,Graneles,3043,117847257,676977410
2021,FY2021,baseline,0,62.21,6,Otros,Otros,Otros,1170,45310973,260290361
2021,FY2021,baseline,0,62.21,7,Pasajeros,Pasajeros,Otros,17,658365,3781997
2021,FY2021,baseline,0,62.21,8,Portacontenedores,Portacontenedores,Contenedores,2602,100768505,578867966
2021,FY2021,baseline,0,62.21,9,Tanqueros_quimiqueros,Tanqueros / Quimiqueros,Líquidos,2596,100536141,577533144
2021,FY2021,baseline,0,62.21,10,Vehiculos_RoRo,Vehículos RoRo,Otros,782,30284770,173971848
2022,FY2022,baseline,0,96.77,1,Carga_general,Carga general,Graneles,653,23792148,138859379
2022,FY2022,baseline,0,96.77,2,Carga_refrigerada,Carga refrigerada,Graneles,604,22006826,128439610
2022,FY2022,baseline,0,96.77,3,Gas_licuado_GLP,Gas licuado (GLP),Gases,1501,54689150,319185189
2022,FY2022,baseline,0,96.77,4,Gas_natural_GNL,Gas natural (GNL),Gases,374,13626744,79530487
2022,FY2022,baseline,0,96.77,5,Graneles_secos,Graneles secos,Graneles,2910,106026266,618806728
2022,FY2022,baseline,0,96.77,6,Otros,Otros,Otros,1560,56838823,331731442
2022,FY2022,baseline,0,96.77,7,Pasajeros,Pasajeros,Otros,129,4700133,27431638
2022,FY2022,baseline,0,96.77,8,Portacontenedores,Portacontenedores,Contenedores,2822,102819973,600093672
2022,FY2022,baseline,0,96.77,9,Tanqueros_quimiqueros,Tanqueros / Quimiqueros,Líquidos,2939,107082885,624973530
2022,FY2022,baseline,0,96.77,10,Vehiculos_RoRo,Vehículos RoRo,Otros,747,27217052,158848325
2023,FY2023,sequia,1,83.78,1,Carga_general,Carga general,Graneles,526,19093651,125085639
2023,FY2023,sequia,1,83.78,2,Carga_refrigerada,Carga refrigerada,Graneles,546,19819645,129841747
2023,FY2023,sequia,1,83.78,3,Gas_licuado_GLP,Gas licuado (GLP),Gases,1757,63778601,417824084
2023,FY2023,sequia,1,83.78,4,Gas_natural_GNL,Gas natural (GNL),Gases,326,11833707,77524560
