anio_fiscal,segmento_id,transitos,toneladas_cp_suez,peajes_usd
2020,1,612,21753490,121905603
2020,2,607,21575765,120909642
2020,3,1305,46386117,259945770
2020,4,419,14893320,83461515
2020,5,2759,98068427,549571172
2020,6,1438,51113591,286438327
2020,7,227,8068696,45216621
2020,8,2551,90675084,508139203
2020,9,2779,98779325,553555015
2020,10,672,23886185,133857132
2021,1,508,19673482,113014960
2021,2,564,21842213,125473302
2021,3,1523,58981719,338822410
2021,4,537,20796575,119466602
2021,5,3043,117847257,676977410
2021,6,1170,45310973,260290361
2021,7,17,658365,3781997
2021,8,2602,100768505,578867966
2021,9,2596,100536141,577533144
2021,10,782,30284770,173971848
2022,1,653,23792148,138859379
2022,2,604,22006826,128439610
2022,3,1501,54689150,319185189
2022,4,374,13626744,79530487
2022,5,2910,106026266,618806728
2022,6,1560,56838823,331731442
2022,7,129,4700133,27431638
2022,8,2822,102819973,600093672
2022,9,2939,107082885,624973530
2022,10,747,27217052,158848325
2023,1,526,19093651,125085639
2023,2,546,19819645,129841747
2023,3,1757,63778601,417824084
2023,4,326,11833707,77524560
2023,5,2649,96157947,629946499
2023,6,1730,62798509,411403338
2023,7,251,9111229,59689155
2023,8,2787,101167308,662763643
2023,9,2695,97827734,640885547
2023,10,813,29511669,193335788
2024,1,287,10803354,81174529
2024,2,436,16412064,123317402
2024,3,1561,58759706,441510240
2024,4,115,4328870,32526379
2024,5,1278,48106922,361467064
2024,6,1572,59173772,444621459
2024,7,205,7716682,57981806
2024,8,2773,104382233,784309991
2024,9,2230,83942438,630728915
2024,10,783,29473959,221462215
2025,1,463,16897911,138440592
2025,2,516,18832229,154288004
2025,3,1805,65876305,539709005
2025,4,61,2226291,18239473
2025,5,2230,81387347,666787302
2025,6,1689,61642704,505024105
2025,7,214,7810266,63987660
2025,8,2893,105584572,865029447
2025,9,2662,97153864,795958654
2025,10,871,31788511,260435758
