anio_fiscal,segmento,transitos,calado_promedio_pies,toneladas_cp_suez,peajes_usd
2020,Carga_general,612,32.0,21753489,121905603
2020,Carga_refrigerada,607,33.0,21575765,120909642
2020,Gas_licuado_GLP,1305,36.0,46386117,259945770
2020,Gas_natural_GNL,419,41.0,14893320,83461515
2020,Graneles_secos,2759,39.0,98068427,549571172
2020,Otros,1438,35.0,51113591,286438327
2020,Pasajeros,227,28.0,8068696,45216621
2020,Portacontenedores,2551,43.0,90675084,508139203
2020,Tanqueros_quimiqueros,2779,38.0,98779325,553555015
2020,Vehiculos_RoRo,672,34.0,23886184,133857132
2021,Carga_general,508,32.0,19673482,113014960
2021,Carga_refrigerada,564,33.0,21842213,125473302
2021,Gas_licuado_GLP,1523,36.0,58981719,338822410
2021,Gas_natural_GNL,537,41.0,20796575,119466602
2021,Graneles_secos,3043,39.0,117847257,676977410
2021,Otros,1170,35.0,45310973,260290361
2021,Pasajeros,17,28.0,658365,3781997
2021,Portacontenedores,2602,43.0,100768505,578867966
2021,Tanqueros_quimiqueros,2596,38.0,100536142,577533143
2021,Vehiculos_RoRo,782,34.0,30284770,173971848
2022,Carga_general,653,32.0,23792148,138859379
2022,Carga_refrigerada,604,33.0,22006826,128439610
2022,Gas_licuado_GLP,1501,36.0,54689150,319185189
2022,Gas_natural_GNL,374,41.0,13626743,79530487
2022,Graneles_secos,2910,39.0,106026266,618806728
2022,Otros,1560,35.0,56838823,331731442
2022,Pasajeros,129,28.0,4700133,27431638
2022,Portacontenedores,2822,43.0,102819973,600093672
2022,Tanqueros_quimiqueros,2939,38.0,107082885,624973530
2022,Vehiculos_RoRo,747,34.0,27217052,158848325
2023,Carga_general,526,32.0,19093651,125085639
2023,Carga_refrigerada,546,33.0,19819645,129841747
2023,Gas_licuado_GLP,1757,36.0,63778601,417824084
2023,Gas_natural_GNL,326,41.0,11833707,77524560
2023,Graneles_secos,2649,39.0,96157947,629946499
2023,Otros,1730,35.0,62798509,411403338
2023,Pasajeros,251,28.0,9111229,59689155
2023,Portacontenedores,2787,43.0,101167308,662763643
2023,Tanqueros_quimiqueros,2695,38.0,97827734,640885547
2023,Vehiculos_RoRo,813,34.0,29511669,193335788
2024,Carga_general,287,32.0,10803354,81174528
2024,Carga_refrigerada,436,33.0,16412064,123317402
2024,Gas_licuado_GLP,1561,36.0,58759706,441510240
2024,Gas_natural_GNL,115,41.0,4328870,32526379
2024,Graneles_secos,1278,39.0,48106922,361467064
2024,Otros,1572,35.0,59173772,444621459
2024,Pasajeros,205,28.0,7716681,57981806
2024,Portacontenedores,2773,43.0,104382233,784309991
2024,Tanqueros_quimiqueros,2230,38.0,83942438,630728915
2024,Vehiculos_RoRo,783,34.0,29473959,221462215
2025,Carga_general,463,32.0,16897911,138440592
2025,Carga_refrigerada,516,33.0,18832229,154288004
2025,Gas_licuado_GLP,1805,36.0,65876306,539709005
2025,Gas_natural_GNL,61,41.0,2226291,18239473
2025,Graneles_secos,2230,39.0,81387347,666787302
2025,Otros,1689,35.0,61642704,505024105
2025,Pasajeros,214,28.0,7810266,63987660
2025,Portacontenedores,2893,43.0,105584572,865029446
2025,Tanqueros_quimiqueros,2662,38.0,97153865,795958654
2025,Vehiculos_RoRo,871,34.0,31788511,260435758
