anio_fiscal,segmento,transitos,fuente
2020,Graneles_secos,2759,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2021,Graneles_secos,3043,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2022,Graneles_secos,2910,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2023,Graneles_secos,2649,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2024,Graneles_secos,1278,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2025,Graneles_secos,2230,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2020,Tanqueros_quimiqueros,2779,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2021,Tanqueros_quimiqueros,2596,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2022,Tanqueros_quimiqueros,2939,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2023,Tanqueros_quimiqueros,2695,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2024,Tanqueros_quimiqueros,2230,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2025,Tanqueros_quimiqueros,2662,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2020,Portacontenedores,2551,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2021,Portacontenedores,2602,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2022,Portacontenedores,2822,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2023,Portacontenedores,2787,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2024,Portacontenedores,2773,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2025,Portacontenedores,2893,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2020,Gas_licuado_GLP,1305,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2021,Gas_licuado_GLP,1523,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2022,Gas_licuado_GLP,1501,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2023,Gas_licuado_GLP,1757,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2024,Gas_licuado_GLP,1561,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2025,Gas_licuado_GLP,1805,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2020,Vehiculos_RoRo,672,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2021,Vehiculos_RoRo,782,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2022,Vehiculos_RoRo,747,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2023,Vehiculos_RoRo,813,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2024,Vehiculos_RoRo,783,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2025,Vehiculos_RoRo,871,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2020,Carga_refrigerada,607,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2021,Carga_refrigerada,564,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2022,Carga_refrigerada,604,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2023,Carga_refrigerada,546,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2024,Carga_refrigerada,436,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2025,Carga_refrigerada,516,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2020,Carga_general,612,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2021,Carga_general,508,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2022,Carga_general,653,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2023,Carga_general,526,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2024,Carga_general,287,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2025,Carga_general,463,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
2020,Gas_natural_GNL,419,"ACP - Informe Anual 2025 (Graph 6, FY2023-2025) e Informe Anual 2022 (Graph 6, FY2020-2022)"
