fase_fiscal,segmento,transitos_promedio
1,Carga_refrigerada,65.0
1,Gas_licuado_GLP,39.857142857142854
1,Gas_natural_GNL,26.0
1,Graneles_secos,164.71428571428572
1,Otros,37.714285714285715
1,Pasajeros,13.142857142857142
1,Portacontenedores,221.0
1,Quimiqueros,165.71428571428572
1,Tanqueros,107.28571428571429
1,Vehiculos_RoRo,49.714285714285715
2,Carga_refrigerada,64.14285714285714
2,Gas_licuado_GLP,40.857142857142854
2,Gas_natural_GNL,29.0
2,Graneles_secos,177.28571428571428
2,Otros,36.57142857142857
2,Pasajeros,13.571428571428571
2,Portacontenedores,225.57142857142858
2,Quimiqueros,175.85714285714286
2,Tanqueros,112.0
2,Vehiculos_RoRo,50.285714285714285
3,Carga_refrigerada,68.42857142857143
3,Gas_licuado_GLP,43.42857142857143
3,Gas_natural_GNL,30.0
3,Graneles_secos,177.57142857142858
3,Otros,38.57142857142857
3,Pasajeros,14.428571428571429
3,Portacontenedores,232.28571428571428
3,Quimiqueros,186.0
3,Tanqueros,119.85714285714286
3,Vehiculos_RoRo,52.42857142857143
4,Carga_refrigerada,72.66666666666667
4,Gas_licuado_GLP,45.166666666666664
4,Gas_natural_GNL,30.166666666666668
4,Graneles_secos,191.66666666666666
4,Otros,40.333333333333336
4,Pasajeros,14.166666666666666
4,Portacontenedores,247.0
4,Quimiqueros,191.16666666666666
4,Tanqueros,125.5
4,Vehiculos_RoRo,57.333333333333336
5,Carga_refrigerada,76.16666666666667
5,Gas_licuado_GLP,47.666666666666664
5,Gas_natural_GNL,31.166666666666668
5,Graneles_secos,200.16666666666666
5,Otros,43.166666666666664
5,Pasajeros,15.666666666666666
5,Portacontenedores,251.0
5,Quimiqueros,189.83333333333334
5,Tanqueros,129.83333333333334
5,Vehiculos_RoRo,58.333333333333336
6,Carga_refrigerada,73.33333333333333
6,Gas_licuado_GLP,48.333333333333336
6,Gas_natural_GNL,31.0
6,Graneles_secos,190.66666666666666
6,Otros,40.666666666666664
6,Pasajeros,15.333333333333334
6,Portacontenedores,252.33333333333334
6,Quimiqueros,196.66666666666666
6,Tanqueros,128.66666666666666
6,Vehiculos_RoRo,59.166666666666664
7,Carga_refrigerada,73.5
7,Gas_licuado_GLP,46.333333333333336
7,Gas_natural_GNL,32.5
7,Graneles_secos,200.16666666666666
7,Otros,41.833333333333336
7,Pasajeros,14.833333333333334
7,Portacontenedores,245.5
7,Quimiqueros,203.33333333333334
7,Tanqueros,129.5
7,Vehiculos_RoRo,57.833333333333336
8,Carga_refrigerada,71.33333333333333
8,Gas_licuado_GLP,45.833333333333336
8,Gas_natural_GNL,31.166666666666668
8,Graneles_secos,191.5
8,Otros,41.833333333333336
8,Pasajeros,15.166666666666666
8,Portacontenedores,260.1666666666667
8,Quimiqueros,191.33333333333334
8,Tanqueros,125.33333333333333
8,Vehiculos_RoRo,58.166666666666664
9,Carga_refrigerada,65.33333333333333
9,Gas_licuado_GLP,44.5
9,Gas_natural_GNL,27.5
9,Graneles_secos,185.5
9,Otros,38.5
9,Pasajeros,13.5
9,Portacontenedores,239.66666666666666
9,Quimiqueros,185.0
9,Tanqueros,118.5
9,Vehiculos_RoRo,50.666666666666664
10,Carga_refrigerada,68.5
10,Gas_licuado_GLP,40.833333333333336
10,Gas_natural_GNL,28.0
10,Graneles_secos,174.33333333333334
10,Otros,37.666666666666664
10,Pasajeros,13.5
10,Portacontenedores,229.16666666666666
10,Quimiqueros,176.5
10,Tanqueros,117.16666666666667
10,Vehiculos_RoRo,50.5
11,Carga_refrigerada,64.83333333333333
11,Gas_licuado_GLP,39.666666666666664
11,Gas_natural_GNL,26.5
11,Graneles_secos,159.66666666666666
11,Otros,37.166666666666664
11,Pasajeros,13.166666666666666
11,Portacontenedores,217.66666666666666
11,Quimiqueros,163.66666666666666
11,Tanqueros,108.0
11,Vehiculos_RoRo,50.666666666666664
12,Carga_refrigerada,63.833333333333336
12,Gas_licuado_GLP,39.833333333333336
12,Gas_natural_GNL,27.5
12,Graneles_secos,165.5
12,Otros,34.666666666666664
12,Pasajeros,12.833333333333334
12,Portacontenedores,222.16666666666666
12,Quimiqueros,166.66666666666666
12,Tanqueros,110.66666666666667
12,Vehiculos_RoRo,48.166666666666664
