anio_fiscal,segmento,transitos,participacion_pct
2020,Carga_general,612,4.58
2020,Carga_refrigerada,607,4.54
2020,Gas_licuado_GLP,1305,9.76
2020,Gas_natural_GNL,419,3.13
2020,Graneles_secos,2759,20.64
2020,Otros,1438,10.76
2020,Pasajeros,227,1.7
2020,Portacontenedores,2551,19.08
2020,Tanqueros_quimiqueros,2779,20.79
2020,Vehiculos_RoRo,672,5.03
2021,Carga_general,508,3.81
2021,Carga_refrigerada,564,4.23
2021,Gas_licuado_GLP,1523,11.42
2021,Gas_natural_GNL,537,4.02
2021,Graneles_secos,3043,22.81
2021,Otros,1170,8.77
2021,Pasajeros,17,0.13
2021,Portacontenedores,2602,19.5
2021,Tanqueros_quimiqueros,2596,19.46
2021,Vehiculos_RoRo,782,5.86
2022,Carga_general,653,4.59
2022,Carga_refrigerada,604,4.24
2022,Gas_licuado_GLP,1501,10.54
2022,Gas_natural_GNL,374,2.63
2022,Graneles_secos,2910,20.44
2022,Otros,1560,10.96
2022,Pasajeros,129,0.91
2022,Portacontenedores,2822,19.82
2022,Tanqueros_quimiqueros,2939,20.64
2022,Vehiculos_RoRo,747,5.25
2023,Carga_general,526,3.74
2023,Carga_refrigerada,546,3.88
2023,Gas_licuado_GLP,1757,12.48
2023,Gas_natural_GNL,326,2.32
2023,Graneles_secos,2649,18.81
2023,Otros,1730,12.29
2023,Pasajeros,251,1.78
2023,Portacontenedores,2787,19.79
2023,Tanqueros_quimiqueros,2695,19.14
2023,Vehiculos_RoRo,813,5.77
2024,Carga_general,287,2.55
2024,Carga_refrigerada,436,3.88
2024,Gas_licuado_GLP,1561,13.89
2024,Gas_natural_GNL,115,1.02
2024,Graneles_secos,1278,11.37
2024,Otros,1572,13.99
2024,Pasajeros,205,1.82
2024,Portacontenedores,2773,24.67
2024,Tanqueros_quimiqueros,2230,19.84
2024,Vehiculos_RoRo,783,6.97
2025,Carga_general,463,3.45
2025,Carga_refrigerada,516,3.85
2025,Gas_licuado_GLP,1805,13.47
2025,Gas_natural_GNL,61,0.46
2025,Graneles_secos,2230,16.64
2025,Otros,1689,12.6
2025,Pasajeros,214,1.6
2025,Portacontenedores,2893,21.58
2025,Tanqueros_quimiqueros,2662,19.86
2025,Vehiculos_RoRo,871,6.5
