segmento,baseline,recuperacion,sequia,var_sequia_pct,var_recuperacion_pct
Graneles_secos,2840.25,2230.0,1278.0,-55.0,-21.49
Tanqueros_quimiqueros,2752.25,2662.0,2230.0,-18.98,-3.28
Portacontenedores,2690.5,2893.0,2773.0,3.07,7.53
Gas_licuado_GLP,1521.5,1805.0,1561.0,2.6,18.63
Otros,1474.5,1689.0,1572.0,6.61,14.55
Vehiculos_RoRo,753.5,871.0,783.0,3.92,15.59
Carga_refrigerada,580.25,516.0,436.0,-24.86,-11.07
Carga_general,574.75,463.0,287.0,-50.07,-19.44
Gas_natural_GNL,414.0,61.0,115.0,-72.22,-85.27
Pasajeros,156.0,214.0,205.0,31.41,37.18
